# Scattering^16 vs Time
# Time,Scatter amount^16
# Forward scatter, Side scatter
0.000000 41656994273430.343750 0.103487
1.000000 36886138215161.046875 0.060718
2.000000 32004793445565.144531 0.034781
3.000000 26982417620759.503906 0.019394
4.000000 22056887011302.707031 0.010522
5.000000 17402973974686.857422 0.005539
6.000000 13187645130841.886719 0.002833
7.000000 9546908411213.271484 0.001396
8.000000 6565241480190.486328 0.000664
9.000000 4263312151329.436523 0.000304
10.000000 2598194552918.001953 0.000133
11.000000 1476663306592.695068 0.000056
12.000000 778276439970.280396 0.000023
13.000000 377557900134.105591 0.000009
14.000000 167639277128.007202 0.000003
15.000000 67805466699.786156 0.000001
16.000000 24799390513.309708 0.000000
17.000000 8166382385.878324 0.000000
18.000000 2410031575.522554 0.000000
19.000000 634812113.287329 0.000000
20.000000 148721170.237498 0.000000
21.000000 30899096.922371 0.000000
22.000000 5680447.989595 0.000000
23.000000 922562.572565 0.000000
24.000000 132255.784882 0.000000
25.000000 16764.660101 0.000000
26.000000 1837.846019 0.000000
27.000000 178.219572 0.000000
28.000000 15.439376 0.000000
29.000000 1.187402 0.000000
30.000000 0.082139 0.000000
31.000000 0.005174 0.000000
32.000000 0.000298 0.000000
33.000000 0.000016 0.000000
34.000000 0.000001 0.000000
35.000000 0.000000 0.000000
36.000000 0.000000 0.000000
37.000000 0.000000 0.000000
38.000000 0.000000 0.000000
39.000000 0.000000 0.000000
40.000000 0.000000 0.000000
41.000000 0.000000 0.000000
42.000000 0.000000 0.000000
43.000000 0.000000 0.000000
44.000000 0.000000 0.000000
45.000000 0.000000 0.000000
46.000000 0.000000 0.000000
47.000000 0.000000 0.000000
48.000000 0.000000 0.000000
49.000000 0.000000 0.000000
50.000000 0.000000 0.000000
51.000000 0.000000 0.000000
52.000000 0.000000 0.000000
53.000000 0.000000 0.000000
54.000000 0.000000 0.000000
55.000000 0.000000 0.000000
56.000000 0.000000 0.000000
57.000000 0.000000 0.000000
58.000000 0.000000 0.000000
59.000000 0.000000 0.000000
60.000000 0.000000 0.000000
